Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-JUN-2026,57074.9,58256.35,57074.9,58150.35,283234744,10087.13
23-JUN-2026,57886.75,57970.9,57078.45,57183.75,267194713,8078.02
22-JUN-2026,57906.9,58009.1,57720.1,57935.6,293508621,6179.56
19-JUN-2026,57754.95,57804.9,57464.55,57685.75,285767830,8320.26
18-JUN-2026,57596.45,58021.25,57583.2,57963.8,409619907,9497.94
17-JUN-2026,57434.05,57646.15,57222.4,57585.05,583416456,8606.79
16-JUN-2026,57320.1,57399.7,57076.25,57297.15,375449405,8421.31
15-JUN-2026,57679.65,57804.5,57119.2,57198.8,350698837,10405.77
12-JUN-2026,55934.1,56867.1,55726.55,56814.8,337387698,11266.63
11-JUN-2026,54779.65,55600.15,54753.15,55176.75,339375955,12836.78
10-JUN-2026,55110.5,55555.85,55026.15,55100.3,343154351,13345.76
09-JUN-2026,54265,55318.35,54242.3,55194.5,409677431,12999.48
08-JUN-2026,53853.45,54455.2,53843.3,54063.75,299385492,7633.01
05-JUN-2026,54405.2,54865.5,54140.6,54496.25,368963233,9300.99
04-JUN-2026,53918.85,54461,53829.4,54307.85,273684619,10811.33
03-JUN-2026,53541.1,54299.35,53027.15,54185.95,339085249,11264.39
02-JUN-2026,53265.1,53933.55,53121.85,53714.65,406403053,11650.52
01-JUN-2026,54403.85,54582.75,53470,53643.1,322916279,8897.06
29-MAY-2026,54748.3,55184.45,54116.15,54239.2,1042592835,28804.71
27-MAY-2026,54992.95,55221.7,54738.6,54853.85,268052806,10775.54
26-MAY-2026,55311.8,55536.8,54979.75,55092.9,321273666,10203.91
25-MAY-2026,54610.55,55405.2,54590.7,55293.65,262419167,8342.54
22-MAY-2026,53483.85,54213.05,53483.55,54055.35,229338156,6961.71
21-MAY-2026,53963.1,54109.15,53156.15,53439.4,285518874,8275.44
20-MAY-2026,53015.7,53640.9,52836.1,53562.2,221449458,7542.58
19-MAY-2026,53553.75,53770.65,53337.05,53409.15,267772359,12908.09
18-MAY-2026,53282.15,53667.55,52783.45,53537,311842492,8918.05
15-MAY-2026,54207.75,54325.45,53628.3,53710.35,315128143,9386.86
14-MAY-2026,53639.5,54393.75,53191.6,54128.95,311812842,10760.56
13-MAY-2026,53600.4,54103.9,53194.25,53456.15,305888706,9802.4
12-MAY-2026,54178.4,54365.45,53457.5,53555.2,364373903,11609.66
11-MAY-2026,54832.45,55002.45,54360.7,54439.9,486830100,15093.47
08-MAY-2026,55783.95,55797.7,55062.5,55310.55,429519591,13194.96
07-MAY-2026,56114,56334.15,55783.2,56047.4,463458813,12910.17
06-MAY-2026,55113.4,56078.8,54587.2,55981.05,653257428,12948.63
05-MAY-2026,54691.3,54888.55,54221.65,54547.05,379764576,11440.82
04-MAY-2026,54937.9,55602.3,54723.5,54878.5,282611679,10905.29
30-APR-2026,54880.65,55111.6,54440.25,54863.35,299008947,12752.95
29-APR-2026,55634.5,56178.75,55290.5,55403.6,313099005,8349.57
28-APR-2026,55862.5,56138.05,55263.75,55400.35,292572868,11063.72
27-APR-2026,56162.6,56474.95,55911.1,56264.3,235494222,9140.62
24-APR-2026,56170.2,56460.5,55750.4,56089.75,241210038,8903.2
23-APR-2026,56608.95,56868.7,56217.15,56305,336307548,12081.19
22-APR-2026,57163.35,57438.2,57002.15,57124.45,261934827,8290.54
21-APR-2026,56823.6,57456.3,56696.3,57371.45,281413848,12169.87
20-APR-2026,56704.05,57085.1,56356.55,56582.35,596140156,14322.75
17-APR-2026,56072.4,56628.7,55841.65,56565.7,290559933,9847.76
16-APR-2026,56657.25,56834.25,55898.25,56086.4,402203847,14096.58
15-APR-2026,56343.45,56786.25,56109.2,56301.95,267999991,11842.19
13-APR-2026,54646,55752.65,54356.2,55605.05,303606436,13923.52
10-APR-2026,55182.25,55978.5,55145.25,55912.75,281031417,11050.95
09-APR-2026,55505.95,55583.1,54626.85,54821.7,298789312,12761.46
08-APR-2026,54904.45,55778.25,54797.5,55703.9,443562335,18029.45
07-APR-2026,52258.7,52778.2,51868.45,52716.25,279734514,12333.3
06-APR-2026,51747.6,52704.55,51111.1,52609.1,355025586,10973.33
